intial_size,house_size,Init_BHK,BHK,init_rates,rates
385,0.128333333333333,1,0.333333333333333,25,0.05
1050,0.35,2,0.666666666666667,58.51,0.11702
675,0.225,1,0.333333333333333,43.25,0.0865
655,0.218333333333333,1,0.333333333333333,42.01,0.08402
660,0.22,1,0.333333333333333,42.51,0.08502
655,0.218333333333333,1,0.333333333333333,35.51,0.07102
1110,0.37,2,0.666666666666667,70,0.14
1045,0.348333333333333,2,0.666666666666667,57.51,0.11502
935,0.311666666666667,2,0.666666666666667,54,0.108
2000,0.666666666666667,3,1,350,0.7
550,0.183333333333333,1,0.333333333333333,45,0.09
1285,0.428333333333333,3,1,100,0.2
730,0.243333333333333,1,0.333333333333333,38.51,0.07702
1045,0.348333333333333,2,0.666666666666667,67.51,0.13502
2570,0.856666666666667,3,1,131,0.262
545,0.181666666666667,1,0.333333333333333,27.25,0.0545
1000,0.333333333333333,2,0.666666666666667,59.01,0.11802
630,0.21,1,0.333333333333333,39.51,0.07902
655,0.218333333333333,1,0.333333333333333,43.51,0.08702
620,0.206666666666667,1,0.333333333333333,45,0.09
525,0.175,1,0.333333333333333,48,0.096
550,0.183333333333333,1,0.333333333333333,41,0.082
560,0.186666666666667,1,0.333333333333333,35.8,0.0716
625,0.208333333333333,1,0.333333333333333,42,0.084
1200,0.4,2,0.666666666666667,85,0.17
1080,0.36,3,1,100,0.2
1175,0.391666666666667,3,1,85,0.17
680,0.226666666666667,1,0.333333333333333,55,0.11
570,0.19,1,0.333333333333333,50,0.1
745,0.248333333333333,2,0.666666666666667,35,0.07
675,0.225,2,0.666666666666667,45,0.09
585,0.195,1,0.333333333333333,29,0.058
900,0.3,2,0.666666666666667,58,0.116
955,0.318333333333333,2,0.666666666666667,50,0.1
540,0.18,1,0.333333333333333,38,0.076
1440,0.48,2,0.666666666666667,92,0.184
665,0.221666666666667,1,0.333333333333333,39.21,0.07842
860,0.286666666666667,2,0.666666666666667,46,0.092
1500,0.5,3,1,85,0.17
350,0.116666666666667,1,0.333333333333333,21,0.042
625,0.208333333333333,1,0.333333333333333,37.51,0.07502
915,0.305,2,0.666666666666667,48,0.096
635,0.211666666666667,1,0.333333333333333,35,0.07
540,0.18,1,0.333333333333333,33,0.066
580,0.193333333333333,1,0.333333333333333,35,0.07
855,0.285,2,0.666666666666667,75,0.15
545,0.181666666666667,1,0.333333333333333,28.51,0.05702
530,0.176666666666667,1,0.333333333333333,38,0.076
675,0.225,1,0.333333333333333,34,0.068
625,0.208333333333333,1,0.333333333333333,42.5,0.085
810,0.27,2,0.666666666666667,45.11,0.09022
1345,0.448333333333333,3,1,75,0.15
385,0.128333333333333,1,0.333333333333333,26.5,0.053
950,0.316666666666667,2,0.666666666666667,46,0.092
1050,0.35,2,0.666666666666667,75,0.15
715,0.238333333333333,1,0.333333333333333,55,0.11
675,0.225,2,0.666666666666667,34.5,0.069
985,0.328333333333333,2,0.666666666666667,60,0.12
990,0.33,2,0.666666666666667,60,0.12
550,0.183333333333333,1,0.333333333333333,36,0.072
650,0.216666666666667,1,0.333333333333333,55,0.11
840,0.28,2,0.666666666666667,60.53,0.12106
675,0.225,1,0.333333333333333,37.25,0.0745
950,0.316666666666667,2,0.666666666666667,65,0.13
1620,0.54,2,0.666666666666667,90,0.18
525,0.175,1,0.333333333333333,32,0.064
395,0.131666666666667,1,0.333333333333333,25,0.05
550,0.183333333333333,1,0.333333333333333,38,0.076
780,0.26,2,0.666666666666667,32,0.064
565,0.188333333333333,1,0.333333333333333,34,0.068
1045,0.348333333333333,2,0.666666666666667,56,0.112
1100,0.366666666666667,2,0.666666666666667,85,0.17
1060,0.353333333333333,3,1,70,0.14
380,0.126666666666667,1,0.333333333333333,26,0.052
560,0.186666666666667,1,0.333333333333333,45,0.09
1200,0.4,3,1,80,0.16
545,0.181666666666667,1,0.333333333333333,27.5,0.055
1900,0.633333333333333,3,1,90,0.18
380,0.126666666666667,1,0.333333333333333,30,0.06
825,0.275,2,0.666666666666667,50,0.1
